id_item,learning_area,type_item,bloom_taxonomy,theo_diff,stimulus_text,stimulus_image,answeroption_01,answeroption_02,answeroption_03,answeroption_04,answeroption_05,answeroption_06,answer_correct,type_stimulus,type_answer,if_answeroption_01,if_answeroption_02,if_answeroption_03,if_answeroption_04,if_answeroption_05,if_answeroption_06
21,Grundlagen der Inferenzstatistik,content,knowledge,easy,"Die Amherst H. Wilder Stiftung führt Umfragen unter Obdachlosen in Minnesota durch. In ihrer 2012 durchgeführten Umfrage unter 4 465 obdachlosen Erwachsenen lautete eine Frage: ""Wie viele Nächte haben Sie in den letzten 30 Nächten im Freien, in einem Fahrzeug, in einem leerstehenden Gebäude oder an einem anderen Ort verbracht, der nicht als Wohnung vorgesehen ist?"" 

Eine Forschungsfrage, die von den Gutachter:innen der Stiftung gestellt wurde, lautete: ""Gibt es einen Unterschied zwischen Männern und Frauen in Bezug auf die durchschnittliche Anzahl der Nächte, die an einem nicht für Wohnzwecke vorgesehenen Ort verbracht wurden?"" Welche der folgenden Aussagen ist eine Nullhypothese für einen statistischen Test, der zur Beantwortung der Forschungsfrage entwickelt wurde?",NA,"Es gibt keinen Unterschied zwischen Männern und Frauen in Bezug auf die Anzahl der Übernachtungen an einem Ort, der nicht für Wohnzwecke vorgesehen ist.",Es gibt einen Unterschied zwischen Männern und Frauen in Bezug auf die Anzahl der Übernachtungen an einem nicht für Wohnzwecke vorgesehenen Ort.,Es gibt keinen Unterschied zwischen Männern und Frauen in Bezug auf die durchschnittliche Zahl der Übernachtungen an einem nicht für Wohnzwecke vorgesehenen Ort.,"Es gibt einen Unterschied zwischen Männern und Frauen in Bezug auf die durchschnittliche Anzahl der Übernachtungen an einem Ort, der nicht für Wohnzwecke vorgesehen ist.",NA,Frage überspringen.,3,text,text,Falsch. Der Teufel steckt im Detail. Es geht um die durchschnittliche Anzahl der Übernachtungen und nicht die absolute.,"Falsch. Diese Aussage ist zweierlei falsch. Einerseits ist hier eine Alternativhypothese formuliert. Dies erkennt man an der Formulierung „Es gibt einen Unterschied“. Zweitens wird hier von „Anzahl der Übernachtungen“ geredet, es geht aber explizit um die „durchschnittliche Anzahl der Übernachtungen“.",Richtig!,Falsch. Dies ist die entsprechende Alternativhypothese für die formulierte Forschungsfrage und lässt sich an der Formulierung „Es gibt einen Unterschied“ erkennen.,NA,Alles klar! Du hast die Aufgabe übersprungen.
22,Grundlagen der Inferenzstatistik,content,knowledge,easy,"Hunde haben einen sehr ausgeprägten Geruchssinn und wurden darauf trainiert, verschiedene Gegenstände zu erschnüffeln, um unterschiedliche Gerüche wahrzunehmen. In Japan wurde ein Experiment mit einem Hund durchgeführt, der darauf trainiert wurde, Darmkrebs in Stuhlproben zu riechen. In einem Test wurden dem Hund fünf Stuhlproben vorgelegt: eine von einem Krebspatienten und vier von gesunden Menschen. Der Hund zeigte an, welche Stuhlprobe von dem Krebspatienten stammte. Dies wurde insgesamt 38 Mal wiederholt. Von den 38 Tests identifizierte der Hund 37 Mal korrekt die Krebsprobe. Es wurde ein Hypothesentest durchgeführt, um festzustellen, ob dieses Ergebnis rein zufällig zustande gekommen sein könnte. Die Alternativhypothese lautet, dass der Hund den Krebs in mehr als einem Fünftel der Fälle richtig identifiziert. Der p-Wert ist kleiner als .001. Unter der Annahme, dass es sich um eine gut konzipierte Studie handelt, sollten Sie ein Signifikanzniveau von .05 verwenden, um eine Entscheidung zu treffen.",NA,"Verwerfen der Nullhypothese und Schlussfolgerung, dass der Hund in mehr als einem Fünftel der Fälle den Krebs richtig erkennt.","Es gibt genügend statistische Evidenz, um zu beweisen, dass der Hund Krebs in mehr als einem Fünftel der Fälle richtig erkennt.","Kein Verwerfen der Nullhypothese und Schlussfolgerung, dass es keine Evidenz dafür gibt, dass der Hund Krebs in mehr als einem Fünftel der Fälle richtig erkennt.",NA,NA,Frage überspringen.,1,text,text,"Richtig! Da der p-Wert kleiner als das vorgegebene Signifikanzniveau ist, kann die Nullhypothese verworfen werden.",Falsch. Hypothesentests können nichts beweisen.,"Falsch. Genau andersherum: Da der p-Wert kleiner als das vorgegebene Signifikanzniveau ist, kann die Nullhypothese verworfen werden.",NA,NA,Alles klar! Du hast die Aufgabe übersprungen.
23,Grundlagen der Inferenzstatistik,content,comprehension,easy,"Es wurde festgestellt, dass unter normalen Umweltbedingungen, erwachsener Forellenbarsch im Silbersee eine durchschnittliche Länge von 12,3 Zoll mit einer Standardabweichung von 3 Zoll haben. Personen, die seit einiger Zeit im Silver Lake angeln, behaupten, dass sie in diesem Jahr kleinere Forellen fangen als sonst. Eine Forschungsgruppe des Ministeriums für natürliche Ressourcen hat eine Stichprobe erwachsener Forellenbarsche aus dem Silver Lake entnommen. Welche der folgenden Aussagen liefert die stärkste Evidenz für die Behauptung, dass sie in diesem Jahr kleinere Forellen als die durchschnittliche Länge (12,3 Zoll) fangen?",NA,"Eine Zufallsstichprobe mit einem Stichprobenumfang von 100 und einem Stichprobenmittelwert von 12,1.","Eine Zufallsstichprobe mit einem Stichprobenumfang von 36 und einem Stichprobenmittelwert von 11,5.","Eine Zufallsstichprobe mit einem Stichprobenumfang von 100 und einem Stichprobenmittelwert von 11,5.","Eine Zufallsstichprobe mit einem Stichprobenumfang von 36 und einem Stichprobenmittelwert von 12,1.",NA,Frage überspringen.,3,text,text,"Falsch. Ein Stichprobenumfang von 100 Forellen liefert zwar korrekterweise stärkere Evidenz als eine Stichprobe von 36 Forellen, jedoch wäre ein Mittelwert von 11,5 Zoll noch überzeugender als 12,1 Zoll.","Falsch. Diese Stichprobe weist zwar einen kleineren Mittelwert auf, könnte aber vom Umfang her größer sein.","Richtig! Im Vergleich zu den anderen Antwortmöglichkeiten liefert diese die stärkste Evidenz, da sie den größtmöglichsten Stichprobenumfang von 100 und den kleinsten Stichprobenwert von 11,5 beinhaltet.","Falsch. Diese Aussage würde die schwächste Evidenz liefern, da die Stichprobe recht klein ist und der Mittelwert von 21,1 Zoll näher am Vergleichsmittelwert von 21,3 Zoll liegt als 11,5 Zoll.",NA,Alles klar! Du hast die Aufgabe übersprungen.
24,Grundlagen der Inferenzstatistik,content,comprehension,medium,"Verbessern Nachhilfestunden die Ergebnisse von Hochschulzulassungstests? Da viele Schüler:innen beim zweiten Versuch auch ohne Nachhilfe besser abschnitten, wurde in einer Studie eine Zufallsstichprobe von 4.200 Schüler:innen untersucht, die zweimal am College-Zulassungstest teilnahmen. Von diesen nahmen 500 zwischen den beiden Versuchen am College-Zulassungstest an einem Nachhilfekurs teil. In der Studie wurde die durchschnittliche Verbesserung der Ergebnisse der Schüler:innen, die ein Coaching erhielten, mit der durchschnittlichen Verbesserung der Schüler:innen, die kein Coaching erhielten, verglichen. Das Ergebnis dieser Studie zeigte, dass die gecoachten Schüler:innen zwar einen größeren Zuwachs hatten, der Unterschied zwischen dem durchschnittlichen Zuwachs der gecoachten und der nicht gecoachten Schüler:innen jedoch statistisch nicht signifikant war. Was bedeutet das?",NA,"Der Anstieg der Testergebnisse könnte rein zufällig auftreten, selbst wenn die Nachhilfe keine Auswirkungen hat.","Der Anstieg der Testergebnisse macht keinen Unterschied bei der Aufnahme in eine Hochschule, da er statistisch nicht signifikant ist.","Die Studie war schlecht konzipiert, da die Anzahl der gecoachten und nicht gecoachten Schüler nicht gleich war.",NA,NA,Frage überspringen.,1,text,text,"Richtig! Der Unterschied war nicht signifikant, was im Umkehrschluss bedeutet, dass der p-Wert größer als .05 war. Der p-Wert beschreibt die Wahrscheinlichkeit, das beobachtete Ergebnis oder ein noch extremeres unter Gültigkeit der Null-Hypothese zu beobachten. Beträgt diese Wahrscheinlichkeit mehr als 5% (oder alternativ das angegebene Alpha-Niveau), verwerfen die Alternativhypothese und nehmen an, dass das beobachtete Ergebnis durch Zufall entstanden sein kann.","Falsch. Diese Aussage ist eine eigene Forschungsfrage, die man empirisch überprüfen müsste.","Falsch. Dies mag der Fall sein, lässt sich jedoch aus dem nicht signifikanten Ergebnis nicht ablesen.",NA,NA,Alles klar! Du hast die Aufgabe übersprungen.
25,Grundlagen der Inferenzstatistik,content,knowledge,easy,"Ein Forscher möchte wissen, ob es einen signifikanten Unterschied in der durchschnittlichen Anzahl der Fernsehstunden zwischen Männern und Frauen gibt. Nach dem Sammeln und Analysieren der Daten fand der Forscher heraus, dass der Unterschied in der durchschnittlichen Anzahl der Stunden zwischen den beiden Gruppen 4,37 Stunden/Woche betrug. Der Forscher führte einen Test durch, um zu überprüfen, ob dieser Unterschied in den Mittelwerten statistisch signifikant ist, und fand einen p-Wert von .001. Was wäre die richtige Schlussfolgerung, die der Forscher ziehen müsste?",NA,"Der Unterschied zwischen den Gruppen bei der durchschnittlichen Anzahl der Fernsehstunden ist zufällig, weil der p-Wert so klein ist.","Der Unterschied zwischen den Gruppen bei der durchschnittlichen Anzahl der Fernsehstunden ist statistisch nicht signifikant, weil der p-Wert zu klein ist.","Es gibt Hinweise auf einen Unterschied in der durchschnittlichen Anzahl der Fernsehstunden zwischen Männern und Frauen in der Bevölkerung, aber es ist möglich, dass es in Wirklichkeit keinen Unterschied gibt.","Es gibt keine eindeutigen Beweise für einen Unterschied in der durchschnittlichen Anzahl der Fernsehstunden zwischen Männern und Frauen in der Bevölkerung, aber es ist möglich, dass es in Wirklichkeit einen Unterschied gibt.",NA,Frage überspringen.,3,text,text,"Falsch. Der p-Wert beschreibt die Wahrscheinlichkeit, das beobachtete Ergebnis oder ein noch extremeres Ergebnis zu beobachten, unter der Annahme, dass es in Wirklichkeit keinen Unterschied gibt. In diesem Fall hier bedeutet ein p-Wert von .001, dass der beobachtete Unterschied zwischen Männern und Frauen oder ein noch größerer Unterschied zu beobachten, 0.1% beträgt, angenommen es gibt zwischen Männern und Frauen keinen Unterschied in der durchschnittlichen Anzahl der Fernsehstunden in der Bevölkerung. Sprich, je kleiner der p-Wert, desto unwahrscheinlicher das Ergebnis unter der Null-Hypothese (aber trotzdem möglich!).","Falsch. Statistische Signifikanz wird ermittelt, in dem der p-Wert eines Hypothesentests mit dem Alpha-Signifikanzniveau verglichen wird. Liegt der p-Wert darunter, wird das Ergebnis als signifikant eingestuft. Der p-Wert geht von 0 bis 1. Einen „zu kleinen“ p-Wert gibt es in Bezug auf statistische Signifikanz somit nicht. Des Weiteren würde man den hier beschriebenen p-Wert von .001 unter dem klassischen Signifikanzniveau von 5% in der Tat als signifikant einstufen.","Richtig! Der p-Wert beschreibt die Wahrscheinlichkeit, das beobachtete Ergebnis oder ein noch extremeres Ergebnis zu beobachten, unter der Annahme, dass es in Wirklichkeit keinen Unterschied gibt. In diesem Fall hier bedeutet ein p-Wert von .001, dass der beobachtete Unterschied zwischen Männern und Frauen oder ein noch größerer Unterschied zu beobachten, 0.1% beträgt, angenommen es gibt zwischen Männern und Frauen keinen Unterschied in der durchschnittlichen Anzahl der Fernsehstunden in der Bevölkerung. Sprich, je kleiner der p-Wert, desto unwahrscheinlicher das Ergebnis unter der Null-Hypothese (aber trotzdem möglich!).","Falsch. Der p-Wert beschreibt die Wahrscheinlichkeit, das beobachtete Ergebnis oder ein noch extremeres Ergebnis zu beobachten, unter der Annahme, dass es in Wirklichkeit keinen Unterschied gibt. In diesem Fall hier bedeutet ein p-Wert von .001, dass der beobachtete Unterschied zwischen Männern und Frauen oder ein noch größerer Unterschied zu beobachten, 0.1% beträgt, angenommen es gibt zwischen Männern und Frauen keinen Unterschied in der durchschnittlichen Anzahl der Fernsehstunden in der Bevölkerung. Sprich, je kleiner der p-Wert, desto unwahrscheinlicher das Ergebnis unter der Null-Hypothese (aber trotzdem möglich!).",NA,Alles klar! Du hast die Aufgabe übersprungen.
26,Grundlagen der Inferenzstatistik,content,knowledge,medium,"Ein Forschungsartikel berichtet über das Ergebnis einer neuen Arzneimittelstudie. Es wird angenommen, dass das Medikament den Sehkraftverlust bei Menschen mit Makuladegeneration wirksamer als die derzeitige Behandlung verringert. In dem Artikel wird im Analyseabschnitt ein p-Wert von .04 angegeben. Welche der folgenden Optionen stellt die richtige Interpretation dieses p-Wertes dar?",NA,"Daraus schließen wir, dass das neue Medikament nicht wirksam ist, weil es nur eine Wahrscheinlichkeit von .04 gibt, dass das Medikament wirksamer ist als die derzeitige Behandlung.","Daraus schließen wir, dass das neue Medikament wirksam ist, weil ein solches oder noch extremeres Ergebnis nur in 4 % der Fälle eintreten würde, wenn das Medikament nicht wirksam wäre.","Daraus schließen wir, dass das neue Medikament wirksam ist, weil die Wahrscheinlichkeit, dass es nicht wirksam ist, nur 4 % beträgt.","Daraus schließen wir, dass das neue Medikament nicht wirksam ist, weil der Unterschied im Anteil der Makuladegenerationspatientinnen mit Sehkraftverlust zwischen den beiden Behandlungen nur 0,04 beträgt.",NA,Frage überspringen.,2,text,text,"Falsch. Dies ist eine Fehlinterpretation des p-Werts. Der p-Wert beschreibt die Wahrscheinlichkeit, das beobachtete Ergebnis oder ein noch extremeres Ergebnis zu beobachten, unter der Annahme, dass es in Wirklichkeit keinen Unterschied gibt. Angenommen, das Medikament ist unwirksam, würde man ein solches oder noch extremeres Ergebnis nur in 4% der Studien beobachten.","Richtig! Der p-Wert beschreibt die Wahrscheinlichkeit, das beobachtete Ergebnis oder ein noch extremeres Ergebnis zu beobachten, unter der Annahme, dass es in Wirklichkeit keinen Unterschied gibt. Angenommen, das Medikament ist unwirksam, würde man ein solches oder noch extremeres Ergebnis nur in 4% der Studien beobachten.","Falsch. Dies ist eine Fehlinterpretation des p-Werts. Der p-Wert beschreibt die Wahrscheinlichkeit, das beobachtete Ergebnis oder ein noch extremeres Ergebnis zu beobachten, unter der Annahme, dass es in Wirklichkeit keinen Unterschied gibt. Angenommen, das Medikament ist unwirksam, würde man ein solches oder noch extremeres Ergebnis nur in 4% der Studien beobachten.","Falsch. Dies ist eine Fehlinterpretation des p-Werts. Der p-Wert beschreibt die Wahrscheinlichkeit, das beobachtete Ergebnis oder ein noch extremeres Ergebnis zu beobachten, unter der Annahme, dass es in Wirklichkeit keinen Unterschied gibt. Angenommen, das Medikament ist unwirksam, würde man ein solches oder noch extremeres Ergebnis nur in 4% der Studien beobachten.",NA,Alles klar! Du hast die Aufgabe übersprungen.
27,Grundlagen der Inferenzstatistik,content,application,medium,"Es wurden zwei Experimente durchgeführt, um die Auswirkungen von zwei verschiedenen Prüfungsvorbereitungsstrategien auf die Prüfungsergebnisse zu untersuchen. In jedem Experiment wurde die Hälfte der Probanden nach dem Zufallsprinzip der Strategie A und die andere Hälfte der Strategie B zugewiesen. Nach Abschluss der Prüfungsvorbereitung legten alle Probanden dieselbe Prüfung ab (die mit Punkten von 0 bis 100 bewertet wird). Die beiden unterschiedlichen Experimente wurden mit Studierenden durchgeführt, die in zwei verschiedenen Fachbereichen eingeschrieben waren: Psychologie und Soziologie. Die Boxplots der Prüfungsergebnisse der Psychologie Studierenden sind unten links dargestellt, die Boxplots der Soziologie Studierenden sind rechts dargestellt. In Psychologie wurden 25 Studierende zufällig der Strategie A und 25 Studierende zufällig der Strategie B zugewiesen. In Soziologie wurden jedoch 100 Studierende zufällig der Strategie A und 100 Studierende zufällig der Strategie B zugewiesen. Welches Experiment liefert den stärkeren Beweis für die Behauptung ""eine Strategie ist besser als die andere""? Und warum?",www/reali_item27_stimulus.png,"Psychologie, weil der Unterschied zwischen den Medianen im Psychologie-Experiment größer zu sein scheint als im Soziologie-Experiment.","Psychologie, weil es mehr Ausreißer bei Strategie B aus dem Psychologie-Experiment gibt, was darauf hinweist, dass Strategie B in diesem Kurs nicht erfolgreich war.","Soziologie, weil der Unterschied zwischen der maximalen und der minimalen Punktzahl im Soziologie-Experiment größer ist als im Psychologie-Experiment.","Soziologie, weil die Stichprobengröße im Soziologie-Experiment größer ist. Dies führt zu einer genaueren Schätzung des Unterschieds zwischen den Strategien.",NA,Frage überspringen.,4,image,text,"Falsch. Auch wenn der Unterschied zwischen den Medianen größer ist, so ist die Schätzung eben jener ungenauer durch die kleinere Stichprobengröße.",Falsch. Ausreißer liefern keine Evidenz über die Wirksamkeit einer Maßnahme.,"Falsch. Das mag an sich zwar stimmen, sagt aber nichts darüber aus, welches Experiment stärkere Evidenz liefert.",Richtig!,NA,Alles klar! Du hast die Aufgabe übersprungen.
28,Grundlagen der Inferenzstatistik,content,knowledge,easy,"Eine Ingenieurin entwirft eine neue Glühbirne. Die bisherige Glühbirne hatte eine durchschnittliche Lebensdauer von 1.200 Stunden. Die neue Glühbirne hat eine geschätzte Lebensdauer von 1.200,2 Stunden, basierend auf einer Stichprobe von 40.000 Glühbirnen. Obwohl der Unterschied recht gering war, war der mittlere Unterschied statistisch signifikant. Ein signifikantes Ergebnis bei einem so geringen Unterschied wäre möglich, weil:",NA,Der neue Entwurf wies eine größere Variabilität auf als der vorherige Entwurf.,Die Stichprobengröße für den neuen Entwurf ist sehr groß.,Der Mittelwert von 1.200 für das vorherige Design ist groß.,NA,NA,Frage überspringen.,2,text,text,Falsch. Dies würde eher für ein nicht-signifikantes Ergebnis sprechen.,"Richtig! Je größer die Stichprobe, desto mehr Power hat man, um auch kleine Effektgrößen auf Signifikanz zu testen. Ein signifikantes Ergebnis bedeutet dann, dass die längere Lebensdauer von 0,2 Stunden eine unwahrscheinliche (< .05) Auftretenswahrscheinlichkeit hat, wenn beide Glühbirnen in Wirklichkeit eine gleichlange Lebensdauer aufweisen. Es ist also davon auszugehen, dass die neue Glühbirne tatsächlich eine längere Lebensdauer hat – wenn auch nicht viel länger.","Falsch. Beim Testen von zwei Mittelwerten gegeneinander spielen die absoluten Werte keine Rolle, sondern nur die Differenz. In anderen Worten, für dieses Beispiel hier ist es irrelevant, ob die Glühbirnen durchschnittlich 1.200 und 1.200,2 Stunden oder 12 und 12,2 Stunden brennen.",NA,NA,Alles klar! Du hast die Aufgabe übersprungen.
29,Grundlagen der Inferenzstatistik,content,comprehension,easy,"Das Pew Forschungszentrum befragte 2013 2.076 zufällig ausgewählte erwachsene Handynutzer:innen. Der prozentuale Anteil der erwachsenen Handynutzer:innen, die über ihr Telefon auf das Internet zugreifen, lag bei 60 %. Das 95 %-Konfidenzintervall lag zwischen 58 % und 62 %. Was versucht dieses Intervall zu schätzen?",NA,"Die durchschnittliche Anzahl der erwachsenen Handynutzer:innen, die 2013 über ihr Telefon auf das Internet zugriffen.","Der Prozentsatz der 2.076 erwachsenen Handynutzer:innen, die 2013 über ihr Telefon auf das Internet zugriffen.","Der Prozentsatz aller erwachsenen Handynutzer:innen, die 2013 über ihr Telefon auf das Internet zugriffen.","Von den erwachsenen Handynutzer:innen, die über ihr Handy auf das Internet zugreifen, waren nur 58% bis 62% sicher im Umgang mit dem Internet über ihr Handy.",NA,Frage überspringen.,3,text,text,"Falsch. Es geht nicht um die (absolute) durchschnittliche Anzahl, sondern um den (relativen) Prozentsatz.","Falsch. Den Prozentsatz der Stichprobe (2.067 erwachsene Handynutzer:innen) können wir berechnen, den brauchen wir nicht zu schätzen. Anders als den Prozentsatz der Population, den müssen wir schätzen, zum Beispiel mit einem Konfidenzintervall.",Richtig!,"Falsch. Diese Information müsste man zusätzlich abfragen. Das Konfidenzintervall versucht, den Prozentsatz der Population zu schätzen.",NA,Alles klar! Du hast die Aufgabe übersprungen.
30,Grundlagen der Inferenzstatistik,content,comprehension,easy,"In einer kürzlich durchgeführten Studie über Vietnam-Veteranen haben die Forscher:innen eine Stichprobe von Veteranen randomisiert gezogen und sie gefragt, ob sie mindestens einmal geschieden gewesen seien. Sie berechneten ein 95 %-Konfidenzintervall für den Prozentsatz der Veteranen, die mindestens einmal geschieden waren (35 % bis 39 %). Welche der folgenden Aussagen über den Mittelpunkt des Intervalls (37 %) ist zutreffend?",NA,"Man kann sagen, dass 37 % der Veteranen in der Stichprobe mindestens einmal geschieden waren.","Man kann sagen, dass 37 % der Veteranen in der Bevölkerung mindestens einmal geschieden waren.","Man kann sagen, dass 95 % der Veteranen in der Stichprobe mindestens einmal geschieden waren.","Wir können sagen, dass 95 % der Veteranen in der Bevölkerung mindestens einmal geschieden waren.",NA,Frage überspringen.,1,text,text,Richtig! Der Mittelpunkt des Konfidenzintervalls beschreibt den Mittelwert der Stichprobe.,"Falsch. Der Mittelpunkt des Konfidenzintervalls beschreibt den Mittelwert der Stichprobe und ist lediglich ein Punktschätzer für den Populationsmittelwert. Die Unsicherheit der Schätzung wird durch das Konfidenzintervall beschrieben. Je schmaler das Konfidenzintervall, desto präziser die Schätzung des Punktschätzers.","Falsch. Der Mittelpunkt des Konfidenzintervalls beschreibt den Mittelwert der Stichprobe. Die Unsicherheit der Schätzung wird durch das Konfidenzintervall beschrieben. Dabei bedeuten die 95 %, dass wenn wir dieses Experiment 100 mal mit neuen Stichproben aus derselben Population wiederholen würden, der wahre Populationsmittelwert in 95 der 100 berechneten Konfidenzintervalle auch tatsächlich liegt.","Falsch. Der Mittelpunkt des Konfidenzintervalls beschreibt den Mittelwert der Stichprobe und ist lediglich ein Punktschätzer für den Populationsmittelwert. Die Unsicherheit der Schätzung wird durch das Konfidenzintervall beschrieben. Dabei bedeuten die 95 %, dass wenn wir dieses Experiment 100 mal mit neuen Stichproben aus derselben Population wiederholen würden, der wahre Populationsmittelwert in 95 der 100 berechneten Konfidenzintervalle auch tatsächlich liegt.",NA,Alles klar! Du hast die Aufgabe übersprungen.
31,Grundlagen der Inferenzstatistik,content,comprehension,easy,"Überlegen Sie, welche Faktoren die Breite eines Konfidenzintervalls beeinflussen könnten. Ein Konfidenzintervall wird als horizontale Linie dargestellt. Der Stichprobenmittelwert wird durch einen durchgehenden Punkt in der Mitte des Konfidenzintervalls dargestellt. Stellen Sie sich vor, dass aus einer Grundgesamtheit von Tausenden von Testergebnissen zwei verschiedene Zufallsstichproben von Testergebnissen gezogen werden. Die erste Stichprobe umfasst 250 Testergebnisse und die zweite Stichprobe umfasst 50 Testergebnisse. Für jede der beiden Stichproben wird ein 95%-Konfidenzintervall für den Mittelwert der Grundgesamtheit konstruiert. 

Welcher der beiden Sätze von Konfidenzintervallen (unten) entspricht den beiden Konfidenzintervallen, die konstruiert werden würden?",NA,www/reali_item31_answeropt1.png,www/reali_item31_answeropt2.png,www/reali_item31_answeropt3.png,NA,NA,www/skip.png,3,text,image,"Falsch. Während der Mittelpunkt des Konfidenzintervalls den Mittelwert der Stichprobe und somit den Punktschätzer der Population beschreibt, beschreibt das Konfidenzintervall die Präzision der Schätzung des Punktschätzers. Dabei wird diese Schätzung genauer (sprich präziser), je mehr Information zur Schätzung hinzugegeben wird (hier in Form von Teilnehmenden). Je präziser das Konfidenzintervall, desto kleiner ist es. Da hier beide Stichproben aus derselben Grundgesamtheit gezogen wurden, muss die größere Stichprobe ein kleineres Konfidenzintervall aufweisen.","Falsch. Während der Mittelpunkt des Konfidenzintervalls den Mittelwert der Stichprobe und somit den Punktschätzer der Population beschreibt, beschreibt das Konfidenzintervall die Präzision der Schätzung des Punktschätzers. Dabei wird diese Schätzung genauer (sprich präziser), je mehr Information zur Schätzung hinzugegeben wird (hier in Form von Teilnehmenden). Je präziser das Konfidenzintervall, desto kleiner ist es. Da hier beide Stichproben aus derselben Grundgesamtheit gezogen wurden, muss die größere Stichprobe ein kleineres Konfidenzintervall aufweisen.","Richtig! Während der Mittelpunkt des Konfidenzintervalls den Mittelwert der Stichprobe und somit den Punktschätzer der Population beschreibt, beschreibt das Konfidenzintervall die Präzision der Schätzung des Punktschätzers. Dabei wird diese Schätzung genauer (sprich präziser), je mehr Information zur Schätzung hinzugegeben wird (hier in Form von Teilnehmenden). Je präziser das Konfidenzintervall, desto kleiner ist es. Da hier beide Stichproben aus derselben Grundgesamtheit gezogen wurden, muss die größere Stichprobe ein kleineres Konfidenzintervall aufweisen.",NA,NA,Alles klar! Du hast die Aufgabe übersprungen.
